alpha,seed,T,d,r,beta,lambda_reg,covariance_type,rho,length_scale,eta,mask_value,n_steps,learning_rate,n_population_config,n_train,n_population,train_loss,population_risk,bayes_population_risk,empirical_bayes_risk,weight_norm,trace_s,top_eigenvalue,R1
3.0,0,4,50,50,1.0,0.1,toeplitz,0.2,,,1.0,500,0.001,5000,7500,5000,1.117826533074105,1.1174186333979534,0.9415384615384615,0.9401282476711708,0.0044165328226963,0.0044165328226963,0.0004289686995966,0.097127931981432
5.0,0,4,50,50,1.0,0.1,toeplitz,0.2,,,1.0,500,0.001,5000,12500,5000,1.1188927494635377,1.1227713472741871,0.9415384615384615,0.9408084020563688,0.0044163679914642,0.0044163679914642,0.0004287994250399,0.0970932281614065
0.5,0,6,50,50,1.0,0.1,toeplitz,0.2,,,1.0,500,0.001,5000,1250,5000,1.083475966236792,1.0790652828526937,0.9353846153846154,0.9367410645929896,0.004416031478278,0.004416031478278,0.0004282791994987,0.0969828230630628
1.0,0,6,50,50,1.0,0.1,toeplitz,0.2,,,1.0,500,0.001,5000,2500,5000,1.0812353431334254,1.0767991458956812,0.9353846153846154,0.934791771592436,0.0044158782164822,0.0044158782164822,0.0004282347288195,0.0969761184131306
2.0,0,6,50,50,1.0,0.1,toeplitz,0.2,,,1.0,500,0.001,5000,5000,5000,1.0764463558446746,1.074438684800475,0.9353846153846154,0.930700934654486,0.00441596342325,0.00441596342325,0.0004282373877249,0.0969748493545744
3.0,0,6,50,50,1.0,0.1,toeplitz,0.2,,,1.0,500,0.001,5000,7500,5000,1.0782363983789618,1.0763103761702435,0.9353846153846154,0.934132262861936,0.0044159763737578,0.0044159763737578,0.0004282248651915,0.0969717292276057
5.0,0,6,50,50,1.0,0.1,toeplitz,0.2,,,1.0,500,0.001,5000,12500,5000,1.0782906707520363,1.076362478304078,0.9353846153846154,0.9335338891160404,0.0044159961783079,0.0044159961783079,0.0004283087673642,0.0969902939382494
0.5,0,4,50,50,1.0,0.1,toeplitz,0.5,,,1.0,500,0.001,5000,1250,5000,0.8520355692522902,0.8526816968842289,0.675,0.6773668761523542,0.0044183221917974,0.0044183221917974,0.0004308950988631,0.0975245987409155
1.0,0,4,50,50,1.0,0.1,toeplitz,0.5,,,1.0,500,0.001,5000,2500,5000,0.8531838241149627,0.8484333106470549,0.675,0.6734119966296875,0.0044184207554037,0.0044184207554037,0.0004310169970512,0.0975500118507435
2.0,0,4,50,50,1.0,0.1,toeplitz,0.5,,,1.0,500,0.001,5000,5000,5000,0.8533373678557138,0.8492953587119731,0.675,0.6741579487664282,0.0044182792297066,0.0044182792297066,0.0004309700636667,0.0975425140106689
3.0,0,4,50,50,1.0,0.1,toeplitz,0.5,,,1.0,500,0.001,5000,7500,5000,0.8485387036151036,0.8473522694719559,0.675,0.67302363444799,0.0044184465398503,0.0044184465398503,0.0004310340102957,0.0975532930880112
5.0,0,4,50,50,1.0,0.1,toeplitz,0.5,,,1.0,500,0.001,5000,12500,5000,0.8492325203925406,0.8525220749696507,0.675,0.6748520782576668,0.0044182386089022,0.0044182386089022,0.0004308747171095,0.0975218305868402
0.5,0,6,50,50,1.0,0.1,toeplitz,0.5,,,1.0,500,0.001,5000,1250,5000,0.874545831904803,0.8688733722651283,0.65,0.6511502881237284,0.0044167074362316,0.0044167074362316,0.0004291618246462,0.0971678180731818
1.0,0,6,50,50,1.0,0.1,toeplitz,0.5,,,1.0,500,0.001,5000,2500,5000,0.8699688039314261,0.866245447995085,0.65,0.6501232231742079,0.0044164205632563,0.0044164205632563,0.0004290559003361,0.097150145506018
2.0,0,6,50,50,1.0,0.1,toeplitz,0.5,,,1.0,500,0.001,5000,5000,5000,0.865501586741433,0.8645113901224312,0.65,0.6470999483655112,0.0044165287095584,0.0044165287095584,0.000429109602664,0.0971599260150445
3.0,0,6,50,50,1.0,0.1,toeplitz,0.5,,,1.0,500,0.001,5000,7500,5000,0.867658058245428,0.8669625962850245,0.65,0.6485816468171962,0.0044165737147171,0.0044165737147171,0.0004291104785453,0.0971591342663414
5.0,0,6,50,50,1.0,0.1,toeplitz,0.5,,,1.0,500,0.001,5000,12500,5000,0.8693436745310377,0.8665880663094183,0.65,0.6496383140228913,0.0044165875703218,0.0044165875703218,0.0004291628683237,0.097170691510242
0.5,0,4,50,50,1.0,0.1,toeplitz,0.8,,,1.0,500,0.001,5000,1250,5000,0.4641909159450555,0.4645308451373317,0.2897560975609755,0.2905873748521639,0.0044223610204358,0.0044223610204358,0.0004339324634109,0.0981223517043898
1.0,0,4,50,50,1.0,0.1,toeplitz,0.8,,,1.0,500,0.001,5000,2500,5000,0.4663247301126983,0.4620559819700809,0.2897560975609755,0.2891994571616683,0.0044223720095195,0.0044223720095195,0.0004339931242904,0.0981358247013681
2.0,0,4,50,50,1.0,0.1,toeplitz,0.8,,,1.0,500,0.001,5000,5000,5000,0.4650862802538587,0.4622322592974069,0.2897560975609755,0.2893972499642421,0.004422298043826,0.004422298043826,0.0004340190248765,0.0981433229002884
3.0,0,4,50,50,1.0,0.1,toeplitz,0.8,,,1.0,500,0.001,5000,7500,5000,0.4622013424493206,0.461278409140317,0.2897560975609755,0.288215164539261,0.0044223571701997,0.0044223571701997,0.000434046648252,0.0981482570374207
5.0,0,4,50,50,1.0,0.1,toeplitz,0.8,,,1.0,500,0.001,5000,12500,5000,0.462419616695697,0.4644203482044133,0.2897560975609755,0.2898603934998214,0.0044222160269186,0.0044222160269186,0.0004339490781796,0.0981293260071803
0.5,0,6,50,50,1.0,0.1,toeplitz,0.8,,,1.0,500,0.001,5000,1250,5000,0.4875186357516078,0.4824888201934809,0.2663414634146341,0.2670365149389226,0.0044182145928284,0.0044182145928284,0.0004307265344095,0.0974888216404649
1.0,0,6,50,50,1.0,0.1,toeplitz,0.8,,,1.0,500,0.001,5000,2500,5000,0.4824173433241323,0.4811309839563703,0.2663414634146341,0.2666618308565526,0.0044179574164606,0.0044179574164606,0.0004306159877262,0.0974694744955763
2.0,0,6,50,50,1.0,0.1,toeplitz,0.8,,,1.0,500,0.001,5000,5000,5000,0.4799050999234452,0.4799538047261625,0.2663414634146341,0.2653005744819174,0.0044179948403264,0.0044179948403264,0.0004306843324502,0.0974841184781471
